POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1W,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ250F,2,-,4,1,26
2,52,Austin Forkner,"Richards, MO",Kawasaki KX250,1,X,11,2,23
3,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,6,-,0,3,21
4,28,Michael Mosiman,"Menifee, CA",Husqvarna FC250,4,-,4,4,19
5,30,Brandon Hartranft,"Brick, NJ",KTM 250SX-F Factory Editi,13,-,0,5,18
6,101,Luke Clout,"Hemet, CA",Honda CRF250R,12,-,0,6,17
7,45,Jacob Hayes,"Lodi, CA",Husqvarna FC250,8,-,0,7,16
8,95,Carson Brown,"Ravensdale, WA",Husqvarna FC250,7,-,0,8,15
9,57,Derek Drake,"San Luis Obispo, CA",KTM 250SX-F Factory Editi,5,-,0,9,14
10,26,Alex Martin,"Clermont, FL",Suzuki RMZ250,11,-,0,10,13
11,106,Jay Wilson,"Palm Beach, QLD",Yamaha YZ250F,10,-,0,11,12
12,55,Martin Castelo,"Murrieta, CA",Husqvarna FC250,19,-,0,12,11
13,90,Killian Auberson,"Winchester, CA",Husqvarna FC250,17,-,0,13,10
14,108,Aaron Tanti,"Silverdale, NSW",Yamaha YZ250F,9,-,0,14,9
15,88,Logan Karnow,"Amherst, OH",Kawasaki KX250,16,-,0,15,8
16,118,Cheyenne Harmon,"Dallas, TX",Honda CRF250R,20,-,0,16,7
17,60,Mitchell Falk,"Costa Mesa, CA",Honda CRF250R,15,-,0,17,6
18,952,Ludovic Macler,"Bliesbruck, FR",Kawasaki KX250,21,-,0,18,5
19,837,Bryson Gardner,"Paso Robles, CA",Honda CRF250R,18,-,0,19,4
20,97,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,14,-,0,20,3
21,284,Lorenzo Camporese,"Campodarsego, ITA",Kawasaki KX250,22,-,0,21,2
22,29,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,3,-,0,22,1
