POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,150,Seth Hammaker,"Temecula, CA",Kawasaki KX250,1,-,21,1,26
2,41,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,6,-,0,2,23
3,31,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,4,-,0,3,21
4,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,2,-,0,4,19
5,48,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,11,-,0,5,18
6,47,Jalek Swoll,"Belleview, FL",Husqvarna FC 250,8,-,0,6,17
7,67,Stilez Robertson,"Murrieta, CA",Husqvarna FC 250,14,-,0,7,16
8,35,Mitchell Harrison,"Murrieta, CA",Honda CRF250R,19,-,0,8,15
9,60,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,10,-,0,9,14
10,91,Nate Thrasher,"Livingston, TN",Yamaha YZ250F,16,-,0,10,13
11,72,Coty Schock,"Dover, DE",Honda CRF250R,20,-,0,11,12
12,56,Kyle Peters,"Greensboro, NC",Honda CRF250R,9,-,0,12,11
13,220,Ramyller Alves,"Coconut Creek, FL",Husqvarna FC 250,17,-,0,13,10
14,26,Alex Martin,"Clermont, FL",Yamaha YZ250F,5,-,0,14,9
15,66,Jordan Bailey,"Orlando, FL",Yamaha YZ250F,7,-,0,15,8
16,69,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,12,-,0,16,7
17,201,Cedric Soubeyras,"Venasque, ",GASGAS MC 250F,15,-,0,17,6
18,75,Ty Masterpool,"Paradise, TX",GASGAS MC 250F,22,-,0,18,5
19,68,Jace Owen,"Mattoon, IL",Yamaha YZ250F,13,-,0,19,4
20,951,Ryan Surratt,"Corona, CA",Kawasaki KX250,21,-,0,20,3
21,59,Jarrett Frye,"Mechanicsville, MD",Yamaha YZ250F,18,-,0,21,2
22,80,Jordon Smith,"Ochlocknee, GA",Kawasaki KX250,3,-,0,22,1
