POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,91,Nate Thrasher,"Livingston, TN",Yamaha YZ250F,19,-,9,1,26
2,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,4,-,0,2,23
3,31,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,7,X,0,3,21
4,150,Seth Hammaker,"Temecula, CA",Kawasaki KX250,2,-,0,4,19
5,56,Kyle Peters,"Greensboro, NC",Honda CRF250R,8,-,0,5,18
6,35,Mitchell Harrison,"Murrieta, CA",Honda CRF250R,6,-,0,6,17
7,41,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,1,-,0,7,16
8,47,Jalek Swoll,"Clermont, FL",Husqvarna FC 250,12,-,0,8,15
9,45,Pierce Brown,"Sandy, UT",GASGAS MC 250F,21,-,0,9,14
10,72,Coty Schock,"Dover, DE",Honda CRF250R,17,-,0,10,13
11,67,Stilez Robertson,"Bakersfield, CA",Husqvarna FC 250,14,-,0,11,12
12,264,Ryan Sipes,"Ekron, KY",GASGAS MC 250F,22,-,0,12,11
13,60,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,5,-,0,13,10
14,48,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,3,-,0,14,9
15,201,Cedric Soubeyras,"Venasque, ",GASGAS MC 250F,10,-,0,15,8
16,75,Ty Masterpool,"Paradise, TX",GASGAS MC 250F,15,-,0,16,7
17,464,Dominique Thury,"Schneeberg, ",Yamaha YZ250F,13,-,0,17,6
18,50,Enzo Lopes,"Huntersville, NC",Honda CRF250R,9,-,0,18,5
19,73,Derek Kelley,"Riverside , CA",GASGAS MC 250F,16,-,0,19,4
20,726,Gared Steinke,"Arvada, CO",Kawasaki KX250,18,-,0,20,3
21,33,Derek Drake,"Lake Elsinore, CA",Suzuki RM-Z250,20,-,0,21,2
22,77,Jerry Robin,"Hamel, MN",Husqvarna FC 250,11,-,0,22,1
