POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,18,Jett Lawrence,"Zephyrhills, FL",Honda CRF250R,2,X,16,1,26
2,48,Cameron McAdoo,"Sioux City, IA",Kawasaki KX250,1,-,5,2,23
3,24,Rj Hampshire,"Minneola, FL",Husqvarna FC 250,3,-,0,3,21
4,44,Pierce Brown,"Sandy, UT",GASGAS MC 250F,19,-,0,4,19
5,54,Mitchell Oldenburg,"ALEDO, TX",Honda CRF250R,9,-,0,5,18
6,80,Enzo Lopes,"Indian Trail, NC",Yamaha YZ250F,20,-,0,6,17
7,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,4,-,0,7,16
8,90,Jordon Smith,"OCHLOCKNEE, GA",Honda CRF250R,5,-,0,8,15
9,81,Jace Owen,"MATTOON, IL",Yamaha YZ250F,7,-,0,9,14
10,140,Cullin Park,"Clermont, FL",Honda CRF250R,11,-,0,10,13
11,331,Derek Drake,"Lake Elsinore, CA",Suzuki RM-Z250,6,-,0,11,12
12,38,Joshua Varize,"Perris, CA",Husqvarna FC 250,16,-,0,12,11
13,285,Marshal Weltin,"Ubly, MI",Yamaha YZ250F,15,-,0,13,10
14,243,Hardy Munoz,"Kissimmee, FL",Kawasaki KX250,22,-,0,14,9
15,129,Henry Miller,"Rochester, MN",KTM 250 SX-F,12,-,0,15,8
16,460,Michael Hicks,"Fenton, MO",KTM 250 SX-F,14,-,0,16,7
17,39,Jarrett Frye,"Mechanicsville, MD",Honda CRF250R,13,-,0,17,6
18,194,Lance Kobusch,"Malakoff, TX",Honda CRF250R,8,-,0,18,5
19,508,Hunter Yoder,"Menifee, CA",Honda CRF250R,17,-,0,19,4
20,75,Luke Neese,"Jamestown, NC",Honda CRF250R,10,-,0,20,3
21,56,Josh Osby,"Valparaiso, IN",Yamaha YZ250F,21,-,0,21,2
22,174,Luca Marsalisi,"Cairo, GA",Yamaha YZ250F,18,-,0,22,1
