POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,24,Rj Hampshire,"Minneola, FL",Husqvarna FC 250,2,2,1,26,Rockstar Energy Husqvarna Factory Racing
2,18,Jett Lawrence,"Zephyrhills, FL",Honda CRF250R,1,1,5,23,Team Honda HRC
3,54,Mitchell Oldenburg,"Aledo, TX",Honda CRF250R,3,3,4,21,Smartop Bullfrog Spas MotoConcepts Honda
4,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,4,4,3,19,Monster Energy Yamaha Star Racing
5,715,Phillip Nicoletti,"Bethel, NY",Yamaha YZ250F,5,10,2,18,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha, 6D Helmets"
6,90,Jordon Smith,"Ochlocknee, GA",Honda CRF250R,6,5,11,17,Fire Power Honda
7,81,Jace Owen,"Mattoon, IL",Yamaha YZ250F,8,8,9,16,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
8,38,Joshua Varize,"Perris, CA",Husqvarna FC 250,18,7,8,15,"Husqvarna, Fly, Scott, Gaerne, FMF, Dunlop, Motorex, WP"
9,72,John Short,"Pilot Point, TX",Honda CRF250R,12,13,10,14,"Volkswagen of Waco, Jones Powersports, Ronnie Praddo Company"
10,70,Ramyller Alves,"Coconut Creek, FL",KTM 250 SX-F,10,11,15,13,Invictus Speed Crew
11,331,Derek Drake,"Lake Elsinore, CA",Suzuki RM-Z250,22,9,7,12,Bar X Suzuki
12,80,Enzo Lopes,"Indian Trail, NC",Yamaha YZ250F,20,6,12,11,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
13,519,Joshua Cartwright,"Fort Worth, TX",Kawasaki KX250,11,14,13,10,"MADD Parts, Circuit Equipment, Namura Tech, Kawasaki"
14,460,Michael Hicks,"Fenton, MO",KTM 250 SX-F,9,15,14,9,Diamond Detail Big St Charles Motorsports Hoosier Tire Redline Oil
15,39,Jarrett Frye,"Mechanicsville, MD",Honda CRF250R,13,12,16,8,Fire Power Honda
16,44,Pierce Brown,"Sandy, UT",GASGAS MC 250F,21,22,6,7,Troy Lee Designs Red Bull GASGAS Factory Racing
17,192,Jack Chambers,"Auburndale, FL",KTM 250 SX-F,17,16,17,6,Rides Unlimited Buca di Beppo KTM
18,52,Kyle Peters,"Greensboro, NC",Honda CRF250R,7,21,22,5,Phoenix Racing Honda
19,604,Max Miller,"Springfield, OR",KTM 250 SX-F,14,20,18,4,"Rides Unlimited, Bell, FMF, Scott, Factory Connection"
20,194,Lance Kobusch,"Malakoff, TX",Honda CRF250R,15,18,20,3,"STR, 100%, Dunlop, Canvas"
21,63,Jeremy Hand,"Mantua, OH",Honda CRF250R,19,17,19,2,SGB Unlimited Honda
22,330,Aj Catanzaro,"Reston, VA",Honda CRF250R,16,19,21,1,"Moto Academy, AGMX, Honda"
