POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,29,Michael Mosiman,"Minneaola, FL",GASGAS MC 250F,3,X,20,1,26
2,96,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,2,-,0,2,23
3,28,Christian Craig,"Temecula, CA",Yamaha YZ250F,1,-,0,3,21
4,62,Vince Friese,"Menifee, CA",Honda CRF250R,5,-,0,4,19
5,30,Jo Shimoda,"Menifee, CA",Kawasaki KX250,7,-,0,5,18
6,43,Carson Mumford,"Simi Valley, CA",Suzuki RM-Z250,8,-,0,6,17
7,31,Jalek Swoll,"Clermont, FL",Husqvarna FC 250,13,-,0,7,16
8,49,Nate Thrasher,"Livingston, TN",Yamaha YZ250F,12,-,0,8,15
9,161,Cole Thompson,"Brigden, ON",Yamaha YZ250F,18,-,0,9,14
10,910,Carson Brown,"Ravensdale, WA",KTM 250 SX-F,10,-,0,10,13
11,101,Dylan Walsh,"Southam, GB",Kawasaki KX250,15,-,0,11,12
12,74,Derek Kelley,"Riverside, CA",KTM 250 SX-F,16,-,0,12,11
13,66,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,6,-,0,13,10
14,69,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,11,-,0,14,9
15,58,Ryan Surratt,"Corona, CA",Yamaha YZ250F,20,-,0,15,8
16,216,Devin Harriman,"Longview, WA",KTM 250 SX-F,21,-,0,16,7
17,40,Dilan Schwartz,"Alpine, CA",Suzuki RM-Z250,9,-,0,17,6
18,260,Dylan Woodcock,"Rayleigh, ENG",Husqvarna FC 250,17,-,0,18,5
19,388,Brandon Ray,"Fremont, CA",Kawasaki KX250,22,-,0,19,4
20,432,Kaeden Amerine,"Great Bend, KS",KTM 250 SX-F,14,-,0,20,3
21,55,Justin Rodbell,"Prince Frederick, MD",Kawasaki KX250,19,-,0,21,2
22,35,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,4,-,0,22,1
