POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,1,X,20,1,25
2,1,Ryan Villopoto,"Poulsbo, WA",Kawasaki KX 450F,6,-,0,2,22
3,18,David Millsaps,"Murrieta, CA",Suzuki RM-Z450,3,-,0,3,20
4,22,Chad Reed,"Dade City, FL",Honda CRF 450,7,-,0,4,18
5,41,Trey Canard,"Shawnee, OK",Honda CRF 450,4,-,0,5,16
6,12,Jake Weimer,"Twin Falls, ID",Kawasaki KX 450F,5,-,0,6,15
7,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,2,-,0,7,14
8,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,,-,0,8,13
9,29,Andrew Short,"Smithville, TX",Honda CRF 450,10,-,0,9,12
10,33,Joshua Grant,"Corona, CA",Yamaha YZ450F,13,-,0,10,11
11,14,Kevin Windham,"Centreville, MS",Honda CRF 450,11,-,0,11,10
12,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,18,-,0,12,9
13,11,Kyle Chisholm,"Clearwater, FL",Yamaha YZ450F,14,-,0,13,8
14,46,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,15,-,0,14,7
15,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,12,-,0,15,6
16,47,Matthew Lemoine,"Collinsville, TX",Kawasaki KX 450F,17,-,0,16,5
17,62,Matthew Goerke,"Lake Helen, FL",KTM 450 SX-F,9,-,0,17,4
18,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,16,-,0,18,3
19,55,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,,-,0,19,2
20,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,8,-,0,20,1
