POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,28,Jessy Nelson,"Paso Robles, CA",KTM 250 SX-F,3,X,15,1,25
2,16,Zach Osborne,"Chesterfield, SC",Husqvarna FC250,19,-,0,2,22
3,911,Tyler Bowers,"Corona, CA",Kawasaki KX 250F,1,-,0,3,20
4,32,Justin Hill,"Yoncalla, OR",KTM 250 SX-F,2,-,0,4,18
5,157,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,11,-,0,5,16
6,40,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,10,-,0,6,15
7,17,Cooper Webb,"Newport, NC",Yamaha YZ250F,5,-,0,7,14
8,31,Alex Martin,"Millville, MN",Yamaha YZ250F,8,-,0,8,13
9,100,Joshua Hansen,"Elbert, CO",Kawasaki KX 250F,4,-,0,9,12
10,61,Michael Leib,"Menifee, CA",Honda CRF 250,16,-,0,10,11
11,44,Zachary Bell,"Cairo, GA",Husqvarna FC250,6,-,0,11,10
12,65,Scott Champion,"Wildomar, CA",Yamaha YZ250,18,-,0,12,9
13,38,Matthew Bisceglia,"Weatherford, TX",Honda CRF 250,9,-,0,13,8
14,130,Thomas Hahn,"Decatur, TX",Honda CRF 250,13,-,0,14,7
15,148,Trevor Reis,"Alpine, CA",Yamaha YZ250F,17,-,0,15,6
16,341,Nico Izzi,"Murrieta, CA",Yamaha YZ250F,7,-,0,16,5
17,981,Austin Politelli,"Menifee, CA",Yamaha YZ250F,12,-,0,17,4
18,217,Ryan Breece,"Athol, ID",Yamaha YZ250F,,-,0,18,3
19,86,Zackery Freeberg,"Riverview, FL",Yamaha YZ250,14,-,0,19,2
20,71,Cole Martinez,"Rimrock, AZ",Yamaha YZ250,15,-,0,20,1
21,97,Darryn Durham,"Butler, PA",KTM 250 SX-F,21,-,0,21,1
22,34,Malcolm Stewart,"Haines City, FL",Honda CRF 250,20,-,0,22,1
