POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,5,X,27,1,26
2,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,1,-,0,2,23
3,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,7,-,0,3,21
4,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,2,-,0,4,19
5,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,9,-,0,5,18
6,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,3,-,0,6,17
7,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,6,-,0,7,16
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,4,-,0,8,15
9,32,Christian Craig,"Orange, CA",Honda CRF 450,8,-,0,9,14
10,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,19,-,0,10,13
11,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,12,-,0,11,12
12,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,11,-,0,12,11
13,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,15,-,0,13,10
14,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,10,-,0,14,9
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,16,-,0,15,8
16,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,17,-,0,16,7
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,14,-,0,17,6
18,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,18,-,0,18,5
19,86,Dylan Merriam,"Corona, CA",Yamaha YZ450F,21,-,0,19,4
20,80,Aj Catanzaro,"Reston, VA",Kawasaki KX 450F,20,-,0,20,3
21,84,Scott Champion,"Orange, CA",Yamaha YZ450F,22,-,0,21,2
22,22,Chad Reed,"Dade City, FL",Husqvarna FC450,13,-,0,22,1
