POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,2,-,9,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF 450,1,-,13,2,23
3,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,4,X,1,3,21
4,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,3,-,0,4,19
5,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,10,-,0,5,18
6,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,8,-,0,6,17
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,6,-,0,7,16
8,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,5,-,0,8,15
9,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,7,-,0,9,14
10,6,Jeremy Martin,"Carlsbad, CA",Honda CRF 450,11,-,0,10,13
11,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,14,-,0,11,12
12,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,12,-,0,12,11
13,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,9,-,0,13,10
14,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,17,-,0,14,9
15,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,13,-,0,15,8
16,22,Chad Reed,"Dade City, FL",Husqvarna FC450,16,-,0,16,7
17,91,Alex Ray,"Milan, TN",Yamaha YZ450F,15,-,0,17,6
18,80,Aj Catanzaro,"Reston, VA",Kawasaki KX 450F,20,-,0,18,5
19,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,21,-,0,19,4
20,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,18,-,0,20,3
21,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,22,-,0,21,2
22,981,Austin Politelli,"Murrieta, CA",Honda CRF 450,19,-,0,22,1
