POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,2,1,4,26,Rockstar Energy Husqvarna Factory Racing
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,4,5,1,23,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
3,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,5,3,2,21,MONSTER ENERGY KAWASAKI
4,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,1,6,6,19,Smartop/Bullfrog Spas/Honda
5,32,Christian Craig,"Orange, CA",Honda CRF 250,6,7,5,18,Team Honda HRC
6,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,14,2,3,17,Monster Energy Factory Yamaha Racing
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,3,4,18,16,Rocky Mountain ATV/MC - KTM - WPS
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,9,10,10,15,Rockstar Energy Husqvarna Factory Racing
9,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,8,9,12,14,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
10,22,Chad Reed,"Dade City, FL",Husqvarna FC450,7,15,9,13,CR22
11,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,11,13,8,12,Rocky Mountain ATV/MC - KTM -WPS
12,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,19,8,7,11,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
13,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,13,11,13,10,51FIFTY Energy Drink Yamaha
14,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,10,17,11,9,MONSTER ENERGY KAWASAKI
15,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,12,12,16,8,H.E.P. Motorsports/FXR/Suzuki
16,59,Cole Martinez,"Rimrock, AZ",Husqvarna FC250,15,19,14,7,AJE MOTORSPORTS / SKASE' MX HUSQVARNA
17,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,18,18,15,6, 
18,58,Matthew Bisceglia,"Weatherford, TX",Suzuki RM-Z450,16,16,21,5,"LVN 100, NUT UP, SUZUKI "
19,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,22,14,22,4,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
20,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,21,20,17,3,"TPJ/Fly Racing, LBeardsleyCPA, RTS inc, UofMX, Eks Brand, Stratus, Racetech, Evs sports, Rockwell watches,Hammerhead designs,Gaerne, Lords of Gastown, Renthal, Dvs shoes."
21,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,17,22,20,2,Smartop BullFrog
22,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z250,20,21,19,1,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
