POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,4,X,16,1,26
2,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,6,-,1,2,23
3,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,3,-,6,3,21
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,5,-,0,4,19
5,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,2,-,0,5,18
6,94,Ken Roczen,"Clermont, FL",Honda CRF 450,9,-,0,6,17
7,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,19,-,0,7,16
8,33,Joshua Grant,"Wildomar, CA",Yamaha YZ450F,10,-,0,8,15
9,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,11,-,0,9,14
10,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,7,-,0,10,13
11,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,12,-,0,11,12
12,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,16,-,0,12,11
13,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,8,-,0,13,10
14,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,20,-,0,14,9
15,41,Ben Lamay,"Wasilla,Alaska",Honda CRF 450,13,-,0,15,8
16,49,Henry Miller,"Rochester, MN",KTM 450 SX-F,17,-,0,16,7
17,60,Justin Starling,"Deland, FL",Husqvarna FC450,18,-,0,17,6
18,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,14,-,0,18,5
19,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,21,-,0,19,4
20,282,Theodore Pauli,"Edwardsville, IL",Kawasaki KX 450,22,-,0,20,3
21,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,15,-,0,21,2
22,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,1,-,0,22,1
