POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,6,-,1,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF 450,1,X,20,2,23
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,14,-,0,3,21
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,8,-,0,4,19
5,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,5,-,0,5,18
6,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,2,-,0,6,17
7,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,19,-,0,7,16
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,7,-,0,8,15
9,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,11,-,0,9,14
10,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,9,-,0,10,13
11,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,10,-,0,11,12
12,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,4,-,4,12,11
13,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,3,-,0,13,10
14,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,21,-,0,14,9
15,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,15,-,0,15,8
16,71,Cole Martinez,"Rimrock, AZ",Suzuki RM-Z450,18,-,0,16,7
17,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,16,-,0,17,6
18,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,13,-,0,18,5
19,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,20,-,0,19,4
20,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,12,-,0,20,3
21,606,Ronnie Stewart,"East Waterboro, ME",Husqvarna FC450,22,-,0,21,2
22,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,17,-,0,22,1
