POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,1,-,17,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,2,X,7,2,23
3,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,3,-,0,3,21
4,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,18,-,0,4,19
5,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,6,-,0,5,18
6,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,4,-,0,6,17
7,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,13,-,0,7,16
8,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,8,-,0,8,15
9,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,7,-,0,9,14
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,5,-,0,10,13
11,64,Vince Friese,"Menifee, CA",Honda CRF450R,15,-,0,11,12
12,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,17,-,0,12,11
13,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,10,-,0,13,10
14,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,12,-,0,14,9
15,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,14,-,0,15,8
16,19,Justin Bogle,"Edmond, OK",KTM 450SX-F Factory Editi,16,-,0,16,7
17,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,9,-,0,17,6
18,22,Chad Reed,"Cornelius, NC",Honda CRF450R,19,-,0,18,5
19,49,Chris Blose,"Phoenix, AZ",Honda CRF450R,20,-,0,19,4
20,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,21,-,0,20,3
21,61,Alex Ray,"Milan, TN",Kawasaki KX450,22,-,0,21,2
22,50,Benny Bloss,"Oak Grove, MO",Yamaha YZ450F,11,-,0,22,1
