POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,1,-,28,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,3,-,0,2,23
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,16,X,0,3,21
4,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,5,-,0,4,19
5,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,6,-,0,5,18
6,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,9,-,0,6,17
7,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,18,-,0,7,16
8,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,10,-,0,8,15
9,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,4,-,0,9,14
10,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,2,-,0,10,13
11,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,15,-,0,11,12
12,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,11,-,0,12,11
13,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,7,-,0,13,10
14,23,Chase Sexton,"Clermont, FL",Honda CRF450R,8,-,0,14,9
15,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,12,-,0,15,8
16,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,14,-,0,16,7
17,20,Broc Tickle,"Holly, MI",Honda CRF450R,17,-,0,17,6
18,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,13,-,0,18,5
19,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,19,-,0,19,4
20,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,21,-,0,20,3
21,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,20,-,0,21,2
22,83,Alex Ray,"Milan, TN",Kawasaki KX450,22,-,0,22,1
