POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,2,-,15,1,26
2,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,6,X,2,2,23
3,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,5,-,0,3,21
4,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,1,-,10,4,19
5,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,4,-,0,5,18
6,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,8,-,0,6,17
7,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,19,-,0,7,16
8,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,9,-,0,8,15
9,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,12,-,0,9,14
10,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,3,-,0,10,13
11,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,7,-,0,11,12
12,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,18,-,0,12,11
13,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,11,-,0,13,10
14,20,Broc Tickle,"Holly, MI",Honda CRF450R,10,-,0,14,9
15,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,13,-,0,15,8
16,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,21,-,0,16,7
17,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,20,-,0,17,6
18,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,17,-,0,18,5
19,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,15,-,0,19,4
20,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,14,-,0,20,3
21,981,Austin Politelli,"Murrieta, CA",Honda CRF450R,22,-,0,21,2
22,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,16,-,0,22,1
