POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,8,-,2,1,26
2,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,4,X,7,2,23
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,9,-,0,3,21
4,27,Malcolm Stewart,"Murrieta, CA",Husqvarna FC 450 RE,2,-,0,4,19
5,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,14,-,0,5,18
6,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,3,-,0,6,17
7,7,Aaron Plessinger,"Hamilton, OH",KTM 450 SX-F FE,7,-,0,7,16
8,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,5,-,0,8,15
9,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,6,-,0,9,10
10,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,11,-,0,10,13
11,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,16,-,0,11,12
12,62,Vince Friese,"Menifee, CA",Honda CRF450R,10,-,0,12,11
13,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,18,-,0,13,10
14,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,22,-,0,14,9
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,13,-,0,15,8
16,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,1,-,17,16,7
17,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,15,-,0,17,6
18,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,17,-,0,18,5
19,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,21,-,0,19,0
20,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,12,-,0,20,3
21,95,Justin Starling,"Deland, FL",GASGAS MC 450F,20,-,0,21,2
22,34,Max Anstie,"Wesley Chapel, FL",KTM 450 SX-F,19,-,0,22,1
