POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,3,2,2,26,Monster Energy Yamaha Star Racing
2,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,6,1,1,23,Monster Energy Kawasaki
3,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,1,4,4,21,Red Bull KTM
4,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,4,3,5,19,Team Honda HRC
5,27,Malcolm Stewart,"Haines City, FL",Husqvarna FC 450 RE,5,6,3,18,Rockstar Energy Husqvarna Factory Racing
6,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,2,7,6,17,Troy Lee Designs Red Bull GASGAS Factory Racing
7,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,9,5,8,16,Monster Energy Yamaha Star Racing
8,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,7,10,11,15,Smartop Bullfrog Spas MotoConcepts Honda
9,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,10,12,7,14,Rocky Mountain ATV/MC WPS KTM
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,8,13,9,13,Rockstar Energy Husqvarna Factory Racing
11,62,Vince Friese,"Menifee, CA",Honda CRF450R,12,8,10,12,Smartop Bullfrog Spas MotoConcepts Honda
12,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,13,14,12,11,H.E.P. Suzuki
13,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,16,9,16,10,Team Honda HRC
14,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,11,11,22,9,Red Bull KTM
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,17,15,13,8,"Team Chiz, Yamaha, LS2, FXR, Rock River"
16,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,20,16,14,7,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
17,57,Kevin Moranz,"Topeka, KS",KTM 450 SX-F,19,18,15,6,"Next Level, DRYT, Fitz Roofing Racing Team"
18,95,Justin Starling,"Deland, FL",GASGAS MC 450F,18,17,17,5,"FXR, SKDA, JSR Motorsports"
19,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,15,22,18,4,H.E.P. Suzuki
20,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,14,20,21,3,SGB Unlimited Honda
21,67,Logan Karnow,"Amherst, OH",Kawasaki KX450,22,19,19,2,"Motozone, CMS Roofing and Restoration, Namura Pistons"
22,848,Joan Cros,"Manlleu, BC",Kawasaki KX450,21,21,20,1,"MADD Parts, Circuit Equipment, Namura Tech, Kawasaki"
