POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,22 Laps,0:57.947,Team Honda HRC
2,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,7.296,0:58.656,Red Bull KTM
3,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,10.381,0:58.275,Troy Lee Designs Red Bull GASGAS Factory Racing
4,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,15.867,0:58.374,Red Bull KTM
5,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,15.881,0:57.840,Team Honda HRC
6,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,20.320,0:59.471,Monster Energy Star Racing Yamaha
7,27,Malcolm Stewart,"Murrieta, CA",Husqvarna FC 450 RE,21.531,0:58.875,Rockstar Energy Husqvarna Factory Racing
8,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,26.982,0:59.737,Rocky Mountain ATV/MC WPS KTM
9,7,Aaron Plessinger,"Leesburg, FL",KTM 450 SX-F FE,29.726,0:59.686,Red Bull KTM
10,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,34.851,0:58.015,Monster Energy Kawasaki
11,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450SR,35.510,0:58.057,Monster Energy Kawasaki
12,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,38.946,1:00.088,Rockstar Energy Husqvarna Factory Racing
13,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,41.311,0:59.915,Smartop Bullfrog Spas MotoConcepts Honda
14,34,Max Anstie,"Murrieta, CA",KTM 450 SX-F,49.446,1:00.171,Rocky Mountain ATV/MC WPS KTM
15,54,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,1:03.848,1:00.526,Smartop Bullfrog Spas MotoConcepts Honda
16,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,21 Laps,0:58.499,Monster Energy Star Racing Yamaha
17,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,7.746,1:01.316,Twisted Tea Suzuki
18,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,25.212,1:00.180,Rocky Mountain ATV/MC WPS KTM
19,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,30.169,1:01.859,SGB Unlimited Honda
20,61,Fredrik Noren,"Indian Trail, NC",KTM 450 SX-F,34.887,1:01.633,"Cole Racing, FXR, KTM"
21,95,Justin Starling,"Deland, FL",GASGAS MC 450F,1:03.375,1:01.876,"FXR, SKDA, JSR Motorsports"
22,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,19 Laps,1:03.360,"Westside, Your Jet Aircraft, Zwinger Construction, UFO"
