POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,21 Laps,0:59.714,Monster Energy Kawasaki
2,7,Aaron Plessinger,"Hamilton, OH",KTM 450 SX-F FE,3.366,0:59.798,Red Bull KTM
3,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,6.165,0:59.768,Troy Lee Designs Red Bull GASGAS Factory Racing
4,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,9.919,0:59.583,Monster Energy Star Racing Yamaha
5,27,Malcolm Stewart,"Murrieta, CA",Husqvarna FC 450 RE,13.951,1:00.621,Rockstar Energy Husqvarna Factory Racing
6,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,14.779,1:00.291,Monster Energy Star Racing Yamaha
7,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,16.649,1:00.678,Red Bull KTM
8,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,34.013,1:00.304,Red Bull KTM
9,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,37.714,1:00.288,Team Honda HRC
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,48.582,1:01.349,Rockstar Energy Husqvarna Factory Racing
11,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,51.534,1:01.933,Rocky Mountain ATV/MC WPS KTM
12,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450SR,55.407,1:00.034,Monster Energy Kawasaki
13,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,58.137,1:00.802,Team Honda HRC
14,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,1:01.784,1:01.100,Rocky Mountain ATV/MC WPS KTM
15,34,Max Anstie,"Murrieta, CA",KTM 450 SX-F,20 Laps,1:02.749,Rocky Mountain ATV/MC WPS KTM
16,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,9.419,1:03.247,Twisted Tea Suzuki
17,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,20.014,1:03.703,Muc-Off FXR ClubMX
18,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,19 Laps,1:04.253,"Team Chiz, Yamaha, LS2, FXR, Rock River"
19,95,Justin Starling,"Deland, FL",GASGAS MC 450F,11.983,1:05.445,"FXR, SKDA, JSR Motorsports"
20,751,Josh Hill,"Huntersville, NC",KTM 450 SX-F,21.849,1:05.740,Team Tedder Monster Energy Lucas Oil KTM Racing
21,848,Joan Cros,"Manlleu, BC",Kawasaki KX450,32.577,1:05.821,"MADD Parts, Circuit Equipment, Namura Tech, Kawasaki"
22,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,8 Laps,1:03.144,Twisted Tea Suzuki
