POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,26 Laps,0:48.745,Monster Energy Kawasaki
2,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,2.833,0:48.921,Red Bull KTM
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,15.086,0:49.067,Red Bull KTM
4,27,Malcolm Stewart,"Murrieta, CA",Husqvarna FC 450 RE,17.075,0:49.233,Rockstar Energy Husqvarna Factory Racing
5,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,28.359,0:49.313,Troy Lee Designs Red Bull GASGAS Factory Racing
6,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,32.963,0:49.160,Monster Energy Yamaha Star Racing
7,7,Aaron Plessinger,"Hamilton, OH",KTM 450 SX-F FE,37.359,0:49.061,Red Bull KTM
8,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,40.418,0:49.058,Team Honda HRC
9,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,43.731,0:49.390,Monster Energy Yamaha Star Racing
10,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,44.671,0:49.974,Smartop Bullfrog Spas MotoConcepts Honda
11,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,47.073,0:49.932,Rockstar Energy Husqvarna Factory Racing
12,62,Vince Friese,"Menifee, CA",Honda CRF450R,25 Laps,0:50.421,Smartop Bullfrog Spas MotoConcepts Honda
13,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,11.839,0:50.900,H.E.P. Suzuki
14,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,23.938,0:50.897,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,34.370,0:51.061,"Team Chiz, Yamaha, LS2, FXR, Rock River"
16,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,24 Laps,0:48.553,Team Honda HRC
17,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,2:14.073,0:50.952,H.E.P. Suzuki
18,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,2:23.063,0:52.088,SGB Unlimited Honda
19,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,2:46.159,0:52.529,"Westside Motorsports, Mount Rushmore Motorsports, UFO"
20,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,23 Laps,0:51.007,Rocky Mountain ATV/MC WPS KTM
21,95,Justin Starling,"Deland, FL",GASGAS MC 450F,24.856,0:52.775,"FXR, SKDA, JSR Motorsports"
22,34,Max Anstie,"Wesley Chapel, FL",KTM 450 SX-F,6 Laps,0:51.046,Rocky Mountain ATV/MC WPS KTM
